Reference_Number,Reference_Text,Citation_Count,Context_1,Context_2,Context_3,All_Match_Texts,Pattern_Types,Paragraph_Locations
51,"Green Jr, BF, Wolf AK, Chomsky C, Laughery K (1 96 1) Baseball: an automatic question-answerer. In",4,"linguistic studies had also started. As early as 1 96 0, signature work influenced by AI began, with the BASEBALL Q-A systems (Green et al., 1 96 1) [ 5 1 ]. LUNAR (Woods,1 97 8) [ 1 52 ] and Winograd SHRDLU were natural successors of these systems, but they were seen as stepped-up sophistication, i...","linguistic studies had also started. As early as 1 96 0, signature work influenced by AI began, with the BASEBALL Q-A systems (Green et al., 1 96 1) [ 5 1 ]. LUNAR (Woods,1 97 8) [ 1 52 ] and Winograd SHRDLU were natural successors of these systems, but they were seen as stepped-up sophistication, i...","puters for literary and linguistic studies had also started. As early as 1 96 0, signature work influenced by AI began, with the BASEBALL Q-A systems (Green et al., 1 96 1) [ 5 1 ]. LUNAR (Woods,1 97 8) [ 1 52 ] and Winograd SHRDLU were natural successors of these systems, but they were seen as step...","[ 5 1 ] | [ 5 1 ] | (Green et al., 1 96 1) [ 5 1 ] | By this time, work on the use of computers for literary and linguistic
studies had also started. As early as 1 96 0, signature work influenced by AI began, with the
BASEBALL Q-A systems (Green et al., 1 96 1) [ 5 1 ]",Format_5 1_Pattern_1 | Format_5 1_Pattern_2 | Format_5 1_Pattern_5 | Format_5 1_Pattern_6,"26, 26, 26, 26"
52,"Greff K, Srivastava RK, Koutník J, Steunebrink BR, Schmidhuber J (2 01 6) LSTM: A search space",1,"eful in the cases where only the desired important information needs to be retained for a much longer time discarding the irrelevant information, see [ 5 2 , 5 8 ]. Further development in the LSTM has also led to a slightly simpler variant, called the gated recurrent unit (GRU), which has shown bett...",,,"[ 5 2 , 5 8 ]",Format_5 2_Pattern_2,31
53,"Grishman R, Sager N, Raze C, Bookchin B (1 97 3) The linguistic string parser. In proceedings of the",1,"pplied in the field as well. The Linguistic String Project-Medical Language Processor is one the large scale projects of NLP in the field of medicine [ 2 1 , 5 3 , 5 7 , 7 1 , 1 14 ]. The LSP- MLP helps enabling physicians to extract and summarize information of any signs or symptoms, drug dosage an...",,,"[ 2 1 , 5 3 , 5 7 , 7 1 , 1 14 ]",Format_5 3_Pattern_2,42
54,"Hayes PJ (1 99 2) Intelligent high-volume text processing using shallow, domain-specific techniques. Text-",8,"market data, newswires etc. and assign them to predefined categories or indices. For example, The Carnegie Group ’ s Construe system (Hayes, 1 99 1) [ 5 4 ], inputs Reuters articles and saves much time by doing the work that is to be done by staff or human indexers. Some companies have been using ca...","market data, newswires etc. and assign them to predefined categories or indices. For example, The Carnegie Group ’ s Construe system (Hayes, 1 99 1) [ 5 4 ], inputs Reuters articles and saves much time by doing the work that is to be done by staff or human indexers. Some companies have been using ca...","asualty reports, market data, newswires etc. and assign them to predefined categories or indices. For example, The Carnegie Group ’ s Construe system (Hayes, 1 99 1) [ 5 4 ], inputs Reuters articles and saves much time by doing the work that is to be done by staff or human indexers. Some companies h...","[ 5 4 ] | [ 5 4 ] | (Hayes, 1 99 1) [ 5 4 ] | Text Categorization
Categorization systems input a large flow of data like official documents, military casualty
reports, market data, newswires etc. and assign them to predefined categories or indices. For
example, The Carnegie Group ’ s Construe system (Hayes, 1 99 1) [ 5 4 ] | [ 5 4 ] | [ 5 4 ] | (Hayes, 1 99 2) [ 5 4 ] | Former one has higher accuracy but higher cost of
implementation while latter has lower implementation cost and is usually insufficient for
IR). Compound or Statistical Phrases (Compounds and statistical phrases index multi token
units instead of single tokens.) Word Sense Disambiguation (Word sense disambiguation is the
task of understanding the correct sense of a word in context. When used for information
retrieval, terms are replaced by their senses in the document vector.)
The extracted information can be applied for a variety of purposes, for example to prepare a
summary, to build databases, identify keywords, classifying text items according to some pre-
defined categories etc. For example, CONSTRUE, it was developed for Reuters, that is used in
classifying news stories (Hayes, 1 99 2) [ 5 4 ]",Format_5 4_Pattern_1 | Format_5 4_Pattern_2 | Format_5 4_Pattern_5 | Format_5 4_Pattern_6 | Format_5 4_Pattern_1 | Format_5 4_Pattern_2 | Format_5 4_Pattern_5 | Format_5 4_Pattern_6,"38, 38, 38, 38, 40, 40, 40, 40"
55,"Hendrix GG, Sacerdoti ED, Sagalowicz D, Slocum J (1 97 8) Developing a natural language interface to",4,"ject (Lea, 1 98 0) and other in some major system developments projects building database front ends. The front-end projects (Hendrix et al., 1 97 8) [ 5 5 ] were intended to go beyond LUNAR in interfacing the large databases. In early 1 98 0 s computational grammar theory became a very active area ...","ject (Lea, 1 98 0) and other in some major system developments projects building database front ends. The front-end projects (Hendrix et al., 1 97 8) [ 5 5 ] were intended to go beyond LUNAR in interfacing the large databases. In early 1 98 0 s computational grammar theory became a very active area ...","anding Research (SUR) project (Lea, 1 98 0) and other in some major system developments projects building database front ends. The front-end projects (Hendrix et al., 1 97 8) [ 5 5 ] were intended to go beyond LUNAR in interfacing the large databases. In early 1 98 0 s computational grammar theory b...","[ 5 5 ] | [ 5 5 ] | (Hendrix
et al., 1 97 8) [ 5 5 ] | Winograd SHRDLU were natural successors of these systems, but they were seen as
stepped-up sophistication, in terms of their linguistic and their task processing capabilities.
There was a widespread belief that progress could only be made on the two sides, one is
ARPA Speech Understanding Research (SUR) project (Lea, 1 98 0) and other in some major
system developments projects building database front ends. The front-end projects (Hendrix
et al., 1 97 8) [ 5 5 ]",Format_5 5_Pattern_1 | Format_5 5_Pattern_2 | Format_5 5_Pattern_5 | Format_5 5_Pattern_6,"26, 26, 26, 26"
57,"Hirschman L, Grishman R, Sager N (1 97 6) From text to structured information: automatic processing of",1,"pplied in the field as well. The Linguistic String Project-Medical Language Processor is one the large scale projects of NLP in the field of medicine [ 2 1 , 5 3 , 5 7 , 7 1 , 1 14 ]. The LSP- MLP helps enabling physicians to extract and summarize information of any signs or symptoms, drug dosage an...",,,"[ 2 1 , 5 3 , 5 7 , 7 1 , 1 14 ]",Format_5 7_Pattern_2,42
58,"Hochreiter S, Schmidhuber J (1 99 7) Long short-term memory. Neural Comput 9(8):1 73 5 – 1 78 0",1,"eful in the cases where only the desired important information needs to be retained for a much longer time discarding the irrelevant information, see [ 5 2 , 5 8 ]. Further development in the LSTM has also led to a slightly simpler variant, called the gated recurrent unit (GRU), which has shown bett...",,,"[ 5 2 , 5 8 ]",Format_5 8_Pattern_2,31
59,"Huang Z, Xu W, Yu K (2 01 5) Bidirectional LSTM-CRF models for sequence tagging. ar Xiv preprint",3,"opic prediction. [ 4 7 ] In order to observe the word arrange- ment in forward and backward direction, bi-directional LSTM is explored by researchers [ 5 9 ]. In case of machine translation, encoder-decoder architecture is used where dimensionality of input and output vector is not known. Neural net...","opic prediction. [ 4 7 ] In order to observe the word arrange- ment in forward and backward direction, bi-directional LSTM is explored by researchers [ 5 9 ]. In case of machine translation, encoder-decoder architecture is used where dimensionality of input and output vector is not known. Neural net...","as word prediction, and sentence topic prediction. [ 4 7 ] In order to observe the word arrange- ment in forward and backward direction, bi-directional LSTM is explored by researchers [ 5 9 ]. In case of machine translation, encoder-decoder architecture is used where dimensionality of input and outp...","[ 5 9 ] | [ 5 9 ] | In order to observe the word arrange-
ment in forward and backward direction, bi-directional LSTM is explored by researchers [ 5 9 ]",Format_5 9_Pattern_1 | Format_5 9_Pattern_2 | Format_5 9_Pattern_6,"62, 62, 62"
60,"Hutchins WJ (1 98 6) Machine translation: past, present, future (p. 6 6). Ellis Horwood, Chichester",4,"C report, which concluded that MT is going nowhere. But later, some MT production systems were providing output to their customers (Hutchins, 1 98 6) [ 6 0 ]. By this time, work on the use of computers for literary and linguistic studies had also started. As early as 1 96 0, signature work influence...","C report, which concluded that MT is going nowhere. But later, some MT production systems were providing output to their customers (Hutchins, 1 98 6) [ 6 0 ]. By this time, work on the use of computers for literary and linguistic studies had also started. As early as 1 96 0, signature work influence...","cording to the ALPAC report, which concluded that MT is going nowhere. But later, some MT production systems were providing output to their customers (Hutchins, 1 98 6) [ 6 0 ]. By this time, work on the use of computers for literary and linguistic studies had also started. As early as 1 96 0, signa...","[ 6 0 ] | [ 6 0 ] | (Hutchins, 1 98 6) [ 6 0 ] | In fact, MT/NLP research
almost died in 1 96 6 according to the ALPAC report, which concluded that MT is going
nowhere. But later, some MT production systems were providing output to their customers
(Hutchins, 1 98 6) [ 6 0 ]",Format_6 0_Pattern_1 | Format_6 0_Pattern_2 | Format_6 0_Pattern_5 | Format_6 0_Pattern_6,"26, 26, 26, 26"
61,"Jurafsky D, Martin J (2 00 8) H. Speech and language processing. 2 nd edn. Prentice-Hall, Englewood",4,t is also explored in unusual areas like segmentation for infant learning and identifying documents for opinions and facts. Anggraeni et al. (2 01 9) [ 6 1 ] used ML and AI to create a question-and-answer system for retrieving information about hearing loss. They developed I-Chat Bot which understan...,t is also explored in unusual areas like segmentation for infant learning and identifying documents for opinions and facts. Anggraeni et al. (2 01 9) [ 6 1 ] used ML and AI to create a question-and-answer system for retrieving information about hearing loss. They developed I-Chat Bot which understan...,ion but it is also explored in unusual areas like segmentation for infant learning and identifying documents for opinions and facts. Anggraeni et al. (2 01 9) [ 6 1 ] used ML and AI to create a question-and-answer system for retrieving information about hearing loss. They developed I-Chat Bot which ...,"[ 6 1 ] | [ 6 1 ] | (2 01 9) [ 6 1 ] | Naive Bayes is a probabilistic algorithm which is based on probability theory and Bayes ’
Theorem to predict the tag of a text such as news or customer review. It helps to calculate the
probability of each tag for the given text and return the tag with the highest probability. Bayes ’
Theorem is used to predict the probability of a feature based on prior knowledge of conditions
that might be related to that feature. The choice of area in NLP using Naïve Bayes Classifiers
could be in usual tasks such as segmentation and translation but it is also explored in unusual
areas like segmentation for infant learning and identifying documents for opinions and facts.
Anggraeni et al. (2 01 9) [ 6 1 ]",Format_6 1_Pattern_1 | Format_6 1_Pattern_2 | Format_6 1_Pattern_5 | Format_6 1_Pattern_6,"60, 60, 60, 60"
62,"Kamp H, Reyle U (1 99 3) Tense and aspect. In from discourse to logic (pp. 4 83-6 89). Springer Netherlands",4,"eral purpose sentence processors like SRI ’ s Core Language Engine (Alshawi,1 99 2) [ 2 ] and Discourse Representation Theory (Kamp and Reyle,1 99 3) [ 6 2 ] offered a means of tackling more extended discourse within the grammatico-logical framework. This period was one of the growing communities. P...","eral purpose sentence processors like SRI ’ s Core Language Engine (Alshawi,1 99 2) [ 2 ] and Discourse Representation Theory (Kamp and Reyle,1 99 3) [ 6 2 ] offered a means of tackling more extended discourse within the grammatico-logical framework. This period was one of the growing communities. P...","decade the powerful general purpose sentence processors like SRI ’ s Core Language Engine (Alshawi,1 99 2) [ 2 ] and Discourse Representation Theory (Kamp and Reyle,1 99 3) [ 6 2 ] offered a means of tackling more extended discourse within the grammatico-logical framework. This period was one of the...","[ 6 2 ] | [ 6 2 ] | (Kamp and
Reyle,1 99 3) [ 6 2 ] | Discourse Representation Theory (Kamp and
Reyle,1 99 3) [ 6 2 ]",Format_6 2_Pattern_1 | Format_6 2_Pattern_2 | Format_6 2_Pattern_5 | Format_6 2_Pattern_6,"26, 26, 26, 26"
63,"Kang Y, Cai Z, Tan CW, Huang Q, Liu H (2 02 0) Natural language processing (NLP) in management",5,"nd challenges, Baclic et.al. (2 02 0) [ 6 ] and Wong et al. (2 01 8) [ 1 51 ] for challenges and opportunities in public health, Kang et.al. (2 02 0) [ 6 3 ] for detailed literature survey and technological challenges relevant to management research and NLP, and a recent review work by Alshemali and...","nd challenges, Baclic et.al. (2 02 0) [ 6 ] and Wong et al. (2 01 8) [ 1 51 ] for challenges and opportunities in public health, Kang et.al. (2 02 0) [ 6 3 ] for detailed literature survey and technological challenges relevant to management research and NLP, and a recent review work by Alshemali and...","egories and challenges, Baclic et.al. (2 02 0) [ 6 ] and Wong et al. (2 01 8) [ 1 51 ] for challenges and opportunities in public health, Kang et.al. (2 02 0) [ 6 3 ] for detailed literature survey and technological challenges relevant to management research and NLP, and a recent review work by Alsh...","[ 6 3 ] | [ 6 3 ] | (2 02 0) [ 6 3 ] | Kang et.al.
(2 02 0) [ 6 3 ] | [ 1 5 , 3 2 , 6 3 , 9 8 , 1 33 , 1 51 ]",Format_6 3_Pattern_1 | Format_6 3_Pattern_2 | Format_6 3_Pattern_5 | Format_6 3_Pattern_6 | Format_6 3_Pattern_2,"70, 70, 70, 70, 73"
64,Kim Y. (2 01 4) Convolutional neural networks for sentence classification. ar Xiv preprint ar Xiv:1 40 8.5 88 2,4,"eacher who responds by offering brief extracts from the text. The neural learning models are overtaking traditional models for NLP [ 6 4 , 1 27 ]. In [ 6 4 ], authors used CNN (Convolutional Neural Network) model for sentiment analysis of movie reviews and achieved 8 1.5% accuracy. The results illus...","pedia text, and a teacher who responds by offering brief extracts from the text. The neural learning models are overtaking traditional models for NLP [ 6 4 , 1 27 ]. In [ 6 4 ], authors used CNN (Convolutional Neural Network) model for sentiment analysis of movie reviews and achieved 8 1.5% accuracy...","eacher who responds by offering brief extracts from the text. The neural learning models are overtaking traditional models for NLP [ 6 4 , 1 27 ]. In [ 6 4 ], authors used CNN (Convolutional Neural Network) model for sentiment analysis of movie reviews and achieved 8 1.5% accuracy. The results illus...","[ 6 4 ] | [ 6 4 , 1 27 ] | [ 6 4 ] | In [ 6 4 ]",Format_6 4_Pattern_1 | Format_6 4_Pattern_2 | Format_6 4_Pattern_2 | Format_6 4_Pattern_6,"55, 55, 55, 55"
65,"Knight K, Langkilde I (2 00 0) Preserving ambiguities in generation via automata intersection. In AAAI/",1,"biguity is preserving ambiguity, e.g. (Shemtov 1 99 7; Emele & Dorna 1 99 8; Knight & Langkilde 2 00 0; Tong Gao et al. 2 01 5, Umber & Bajwa 2 01 1) [ 3 9 , 4 6 , 6 5 , 1 25 , 1 39 ]. Their objectives are closely in line with removal or minimizing ambiguity. They cover a wide range of ambiguities a...",,,"[ 3 9 , 4 6 , 6 5 , 1 25 , 1 39 ]",Format_6 5_Pattern_2,22
66,"Lass R (1 99 8) Phonology: An Introduction to Basic Concepts. Cambridge, UK; New York; Melbourne,",3,"Phonology is “ the study of sound pertaining to the system of language ” whereas Lass 19 98 [ 6 6 ]wrote that phonology refers broadly with the sounds of language, concerned with sub- discipline of linguistics, behavior and organization of sounds. P","Phonology is “ the study of sound pertaining to the system of language ” whereas Lass 19 98 [ 6 6 ]wrote that phonology refers broadly with the sounds of language, concerned with sub- discipline of linguistics, behavior and organization of sounds. P","Phonology is “ the study of sound pertaining to the system of language ” whereas Lass 19 98 [ 6 6 ]wrote that phonology refers broadly with the sounds of language, concerned with sub- discipline of linguistics, behavior and organization of sounds. P","[ 6 6 ] | [ 6 6 ] | Phonology is “ the study of sound pertaining to the system of language ” whereas Lass 19 98
[ 6 6 ]",Format_6 6_Pattern_1 | Format_6 6_Pattern_2 | Format_6 6_Pattern_6,"16, 16, 16"
67,Lewis DD (1 99 8) Naive (Bayes) at forty: The independence assumption in information retrieval. In,4,"learned from training data rather than making by hand. The naïve bayes is preferred because of its performance despite its simplicity (Lewis, 1 99 8) [ 6 7 ] In Text Categorization two types of models have been used (Mc Callum and Nigam, 1 99 8) [ 7 7 ]. Both modules assume that a fixed vocabulary i...","learned from training data rather than making by hand. The naïve bayes is preferred because of its performance despite its simplicity (Lewis, 1 99 8) [ 6 7 ] In Text Categorization two types of models have been used (Mc Callum and Nigam, 1 99 8) [ 7 7 ]. Both modules assume that a fixed vocabulary i...","s classifier is learned from training data rather than making by hand. The naïve bayes is preferred because of its performance despite its simplicity (Lewis, 1 99 8) [ 6 7 ] In Text Categorization two types of models have been used (Mc Callum and Nigam, 1 99 8) [ 7 7 ]. Both modules assume that a fi...","[ 6 7 ] | [ 6 7 ] | (Lewis, 1 99 8) [ 6 7 ] | Using these
approaches is better as classifier is learned from training data rather than making by hand. The
naïve bayes is preferred because of its performance despite its simplicity (Lewis, 1 99 8) [ 6 7 ]",Format_6 7_Pattern_1 | Format_6 7_Pattern_2 | Format_6 7_Pattern_5 | Format_6 7_Pattern_6,"38, 38, 38, 38"
68,Liddy ED (2 00 1). Natural language processing,12,"e ” or “ script ” . This level of processing also incorporates the semantic disambiguation of words with multiple senses (Elizabeth D. Liddy, 2 00 1) [ 6 8 ]. For example, the word “ bark ” as a noun can mean either as a sound that a dog makes or outer covering of the tree. The semantic level examin...","that convey meaning by interpreting the relations between sentences and uncovering linguistic structures from texts at several levels (Liddy,2 00 1) [ 6 8 ]. The two of the most common levels are: Anaphora Resolution an d Coreference Resolution. Anaphora resolution 3 71 7 Multimedia Tools and Applic...","e ” or “ script ” . This level of processing also incorporates the semantic disambiguation of words with multiple senses (Elizabeth D. Liddy, 2 00 1) [ 6 8 ]. For example, the word “ bark ” as a noun can mean either as a sound that a dog makes or outer covering of the tree. The semantic level examin...","[ 6 8 ] | [ 6 8 ] | [ 6 8 ] | [ 6 8 ] | (Elizabeth D. Liddy, 2 00 1) [ 6 8 ] | (Liddy,2 00 1) [ 6 8 ] | It retains the stopwords as
removal of them changes the meaning of the sentence. It doesn ’ t support lemmatization and
stemming because converting words to its basic form changes the grammar of the sentence. It
focuses on identification on correct Po S of sentences. For example: in the sentence “ frowns on
his face ” , “ frowns ” is a noun whereas it is a verb in the sentence “ he frowns ” .
e)
Semantic
On a semantic level, the most important task is to determine the proper meaning of a sentence.
To understand the meaning of a sentence, human beings rely on the knowledge about language
and the concepts present in that sentence, but machines can ’ t count on these techniques.
Semantic processing determines the possible meanings of a sentence by processing its logical
structure to recognize the most relevant words to understand the interactions among words or
different concepts in the sentence. For example, it understands that a sentence is about
“ movies ” even if it doesn ’ t comprise actual words, but it contains related concepts such as
“ actor ” , “ actress ” , “ dialogue ” or “ script ” . This level of processing also incorporates the
semantic disambiguation of words with multiple senses (Elizabeth D. Liddy, 2 00 1) [ 6 8 ] | Discourse
While syntax and semantics level deal with sentence-length units, the discourse level of NLP
deals with more than one sentence. It deals with the analysis of logical structure by making
connections among words and sentences that ensure its coherence. It focuses on the properties
of the text that convey meaning by interpreting the relations between sentences and uncovering
linguistic structures from texts at several levels (Liddy,2 00 1) [ 6 8 ] | [ 6 8 ] | [ 6 8 ] | (Liddy, 2 00 1) [ 6 8 ] | Dialogue System
Dialogue systems are very prominent in real world applications ranging from providing
support to performing a particular action. In case of support dialogue systems, context
awareness is required whereas in case to perform an action, it doesn ’ t require much context
awareness. Earlier dialogue systems were focused on small applications such as home theater
systems. These dialogue systems utilize phonemic and lexical levels of language. Habitable
dialogue systems offer potential for fully automated dialog systems by utilizing all levels of a
language. (Liddy, 2 00 1) [ 6 8 ]",Format_6 8_Pattern_1 | Format_6 8_Pattern_1 | Format_6 8_Pattern_2 | Format_6 8_Pattern_2 | Format_6 8_Pattern_5 | Format_6 8_Pattern_5 | Format_6 8_Pattern_6 | Format_6 8_Pattern_6 | Format_6 8_Pattern_1 | Format_6 8_Pattern_2 | Format_6 8_Pattern_5 | Format_6 8_Pattern_6,"18, 18, 18, 18, 18, 18, 18, 18, 42, 42, 42, 42"
69,"Lopez MM, Kalita J (2 01 7) Deep learning applied to NLP. ar Xiv preprint ar Xiv:1 70 3.0 30 91",3,"nsla- tion, sentiment analysis and speech recognition. Initially focus was on feedforward [ 4 9 ] and CNN (convolutional neural network) architecture [ 6 9 ] but later researchers adopted recurrent neural networks to capture the context of a word with respect to surrounding words of a sentence. LSTM...","nsla- tion, sentiment analysis and speech recognition. Initially focus was on feedforward [ 4 9 ] and CNN (convolutional neural network) architecture [ 6 9 ] but later researchers adopted recurrent neural networks to capture the context of a word with respect to surrounding words of a sentence. LSTM...","summarization, text classification, machine transla- tion, sentiment analysis and speech recognition. Initially focus was on feedforward [ 4 9 ] and CNN (convolutional neural network) architecture [ 6 9 ] but later researchers adopted recurrent neural networks to capture the context of a word with r...",[ 6 9 ] | [ 6 9 ] | CNN (convolutional neural network) architecture [ 6 9 ],Format_6 9_Pattern_1 | Format_6 9_Pattern_2 | Format_6 9_Pattern_6,"60, 60, 60"
70,"Luong MT, Sutskever I, Le Q V, Vinyals O, Zaremba W (2 01 4) Addressing the rare word problem in",6,"ks like Sentence Classification [ 1 27 ], Sentiment Analysis [ 1 35 ], Text Classification [ 1 18 ], Text Summarization [ 1 58 ], Machine Translation [ 7 0 ] and Answer Relations [ 1 50 ] . An article by Newatia (2 01 9) [ 9 3 ] illustrates the general architecture behind any CNN model, and how it c...","ks like Sentence Classification [ 1 27 ], Sentiment Analysis [ 1 35 ], Text Classification [ 1 18 ], Text Summarization [ 1 58 ], Machine Translation [ 7 0 ] and Answer Relations [ 1 50 ] . An article by Newatia (2 01 9) [ 9 3 ] illustrates the general architecture behind any CNN model, and how it c...","ociated with NLP tasks like Sentence Classification [ 1 27 ], Sentiment Analysis [ 1 35 ], Text Classification [ 1 18 ], Text Summarization [ 1 58 ], Machine Translation [ 7 0 ] and Answer Relations [ 1 50 ] . An article by Newatia (2 01 9) [ 9 3 ] illustrates the general architecture behind any CNN...","[ 7 0 ] | [ 7 0 ] | Machine Translation
[ 7 0 ] | [ 7 0 ] | [ 7 0 ] | Quasi-
Recurrent Neural Network and LSTM to handle the granularity at character and word level.
They tuned the parameters for character-level modeling using Penn Treebank dataset and
word-level modeling using Wiki Text-1 03. In both cases, their model outshined the state-of-art
methods.
Luong et al. [ 7 0 ]",Format_7 0_Pattern_1 | Format_7 0_Pattern_2 | Format_7 0_Pattern_6 | Format_7 0_Pattern_1 | Format_7 0_Pattern_2 | Format_7 0_Pattern_6,"29, 29, 29, 55, 55, 55"
71,"Lyman M, Sager N, Friedman C, Chi E (1 98 5) Computer-structured narrative in ambulatory care: its use in",1,"pplied in the field as well. The Linguistic String Project-Medical Language Processor is one the large scale projects of NLP in the field of medicine [ 2 1 , 5 3 , 5 7 , 7 1 , 1 14 ]. The LSP- MLP helps enabling physicians to extract and summarize information of any signs or symptoms, drug dosage an...",,,"[ 2 1 , 5 3 , 5 7 , 7 1 , 1 14 ]",Format_7 1_Pattern_2,42
72,"Lyman M, Sager N, Chi EC, Tick LJ, Nhan NT, Su Y, ..., Scherrer, J. (1 98 9) Medical Language",1,"vironment with NLP features [ 8 1 , 1 19 ]. In the first phase, patient records were archived. At later stage the LSP-MLP has been adapted for French [ 1 0 , 7 2 , 9 4 , 1 13 ], and finally, a proper NLP system called RECIT [ 9 , 1 1 , 1 7 , 1 06 ] has been developed using a method called Proximity ...",,,"[ 1 0 , 7 2 , 9 4 , 1 13 ]",Format_7 2_Pattern_2,44
73,"Maas A, Daly RE, Pham PT, Huang D, Ng AY, Potts C (2 01 1) Learning word vectors for sentiment",3,"alysis, this dataset offers thousands of movie reviews split into training and test datasets. This dataset was introduced in by Mass et al. in 2 01 1 [ 7 3 ]. e) G.Rama Rohit Reddy of the Language Technologies Research Centre, KCIS, IIIT Hyderabad, generated the corpus “ Sentiraama. ” The corpus is ...","alysis, this dataset offers thousands of movie reviews split into training and test datasets. This dataset was introduced in by Mass et al. in 2 01 1 [ 7 3 ]. e) G.Rama Rohit Reddy of the Language Technologies Research Centre, KCIS, IIIT Hyderabad, generated the corpus “ Sentiraama. ” The corpus is ...","c) Paper Reviews: It provides reviews of computing and informatics conferences written in English and Spanish languages. It has 4 05 reviews which are evaluated on a 5-point scale ranging from very negative to very positive. d) IMDB: For natural language processing, text analytics, and sentiment ana...","[ 7 3 ] | [ 7 3 ] | Paper Reviews: It provides reviews of computing and informatics conferences written in
English and Spanish languages. It has 4 05 reviews which are evaluated on a 5-point scale
ranging from very negative to very positive.
d)
IMDB: For natural language processing, text analytics, and sentiment analysis, this
dataset offers thousands of movie reviews split into training and test datasets. This dataset
was introduced in by Mass et al. in 2 01 1 [ 7 3 ]",Format_7 3_Pattern_1 | Format_7 3_Pattern_2 | Format_7 3_Pattern_6,"53, 53, 53"
74,"Mani I, Maybury MT (eds) (1 99 9) Advances in automatic text summarization, vol 2 93. MIT press,",7,"nd Schuetze,1 99 9) [ 7 5 ], because this not only involves data analysts. Information extraction and automatic summarizing (Mani and Maybury,1 99 9) [ 7 4 ] was also a point of focus. Next, we present a walkthrough of the developments from the early 2 00 0. ### 3.1 A walkthrough of recent developme...","nd Schuetze,1 99 9) [ 7 5 ], because this not only involves data analysts. Information extraction and automatic summarizing (Mani and Maybury,1 99 9) [ 7 4 ] was also a point of focus. Next, we present a walkthrough of the developments from the early 2 00 0. ### 3.1 A walkthrough of recent developme...","thing in 9 0 s (Manning and Schuetze,1 99 9) [ 7 5 ], because this not only involves data analysts. Information extraction and automatic summarizing (Mani and Maybury,1 99 9) [ 7 4 ] was also a point of focus. Next, we present a walkthrough of the developments from the early 2 00 0. ### 3.1 A walkth...","[ 7 4 ] | [ 7 4 ] | (Mani and Maybury,1 99 9) [ 7 4 ] | Information extraction and automatic summarizing (Mani and Maybury,1 99 9) [ 7 4 ] | [ 7 4 ] | [ 7 4 ] | Summarization task can be either supervised or unsupervised (Mani
and Maybury 1 99 9 [ 7 4 ]",Format_7 4_Pattern_1 | Format_7 4_Pattern_2 | Format_7 4_Pattern_5 | Format_7 4_Pattern_6 | Format_7 4_Pattern_1 | Format_7 4_Pattern_2 | Format_7 4_Pattern_6,"28, 28, 28, 28, 42, 42, 42"
75,"Manning CD, Schütze H (1 99 9) Foundations of statistical natural language processing, vol 9 99. MIT",4,"LP, the work on the lexicon, also pointed in this direction. Statistical language processing was a major thing in 9 0 s (Manning and Schuetze,1 99 9) [ 7 5 ], because this not only involves data analysts. Information extraction and automatic summarizing (Mani and Maybury,1 99 9) [ 7 4 ] was also a p...","LP, the work on the lexicon, also pointed in this direction. Statistical language processing was a major thing in 9 0 s (Manning and Schuetze,1 99 9) [ 7 5 ], because this not only involves data analysts. Information extraction and automatic summarizing (Mani and Maybury,1 99 9) [ 7 4 ] was also a p...","works, statistically colored NLP, the work on the lexicon, also pointed in this direction. Statistical language processing was a major thing in 9 0 s (Manning and Schuetze,1 99 9) [ 7 5 ], because this not only involves data analysts. Information extraction and automatic summarizing (Mani and Maybur...","[ 7 5 ] | [ 7 5 ] | (Manning and Schuetze,1 99 9) [ 7 5 ] | NLP,
the work on the lexicon, also pointed in this direction. Statistical language processing was a
major thing in 9 0 s (Manning and Schuetze,1 99 9) [ 7 5 ]",Format_7 5_Pattern_1 | Format_7 5_Pattern_2 | Format_7 5_Pattern_5 | Format_7 5_Pattern_6,"28, 28, 28, 28"
